8192,7913,2024,2,4,3,5
8192,7918,2048,0,2004,2003,2005
8192,7921,2048,0,4002,4001,4003
8192,7923,2048,0,6004,6003,6005
8192,7929,2048,0,8002,8001,8003
8192,7917,2048,0,a004,a003,a005
8192,7934,2048,0,c002,c001,c003
8192,7929,2045,3,e004,e003,e005
8192,7934,2048,0,10002,10001,10003
8192,7932,2048,0,12004,12003,12005
8192,7934,2048,0,14002,14001,14003
8192,7934,2048,0,16002,16001,16003
8192,7934,2048,0,18002,18001,18003
8192,7934,2048,0,1a002,1a001,1a003
8192,7934,2048,0,1c002,1c001,1c003
8192,4889,1047,1,1e002,1e001,1e003
8192,7934,2048,0,20002,20001,20003
8192,7934,2048,0,22002,22001,22003
8192,7934,2048,0,24002,24001,24003
8192,7934,2048,0,26002,26001,26003
8192,7934,2048,0,28002,28001,28003
8192,7934,2048,0,2a002,2a001,2a003
8192,7934,2048,0,2c002,2c001,2c003
8192,7934,2048,0,2e002,2e001,2e003
8192,7933,2048,0,30002,30001,30003
